,Expert,Institution
2858,Lu Chao,Border Study Institute
2859,Li Zhonglin,College of Economics and Management
2860,James Stock,Harvard University
2861,Andrew Thomas,Ohio State University
2862,Brian Quinn,Boston College Law School
2863,John Kappelman,University of Texas
2864,Bryce Edwards,University of Otago
2865,U. S.,American Petroleum Institute
2866,Ron Hira,Howard University
2867,Hidenobu Tokuda,Mizuho Research Institute
2868,Erik Gordon,University of Michigan Ross School of Business
2869,Hank Wilson,Ohio State University
2870,John Glenn College,John Glenn College of Public Affairs
2871,Milton Friedman,University of Chicago
2872,Megan Whitney,University of Washington
2873,Larry Summers,Harvard University
2874,U. S.,University of Michigan
2875,Dan Reicher,Stanford University
2876,Gary Johnson,Electoral College
2877,Etete Peters,University of Uyo
2878,Susan Aaronson,George Washington University
2879,John Taylor,Stanford University
2880,Marvin Goodfriend,Carnegie Mellon University
2881,Julian Zelizer,Princeton University
2882,Donald Trump,Electoral College
2883,Ni Lexiong,Shanghai University of Political Science and Law
2884,Dennis Ross,Washington Institute for Near East Policy
2885,U. S.,Foreign Policy Research Institute
2886,Marcus Noland,Peterson Institute for International Economics
2887,Karl Campbell,Appalachian State University
2888,David Autor,Massachusetts Institute of Technology
2889,Joe Antos,American Enterprise Institute
2890,Zach Goldberg,College Board
2891,Takeshi Minami,Norinchukin Research Institute
2892,Peter Feaver,Duke University
2893,U. S.,American Institute
2894,Walter Isaacson,Aspen Institute
2895,Josh Knight,University of Melbourne
2896,Orrin Devinsky,New York University
2897,Sean McAllister,California Pacific Medical Center Research Institute
2898,Francisco Guimaraes,University of Sao Paolo
2899,Eric Schadt,Icahn Institute for Genomics
2900,Robert Shiller,Yale University
2901,Rexford G. Tugwell,Columbia University
2902,Gregory Erickson,Florida State University
2903,David Varricchio,Montana State University
2904,Justin Pope,Longwood University
2905,Duncan Lorimer,West Virginia University
2906,Richard Cole,University College
2907,Richard Cole,University College
2908,Carl Hart,Columbia University
2909,U. S.,U. S. Institute of Peace
2910,Erik Gordon,University of Michigan
2911,Michael Cohen,University of Southern California
2912,Carl W. Tobias,University of Richmond
2913,Carl W. Tobias,University of Richmond
2914,Andrew Mendoza,Davis College
2915,Andra Gillespie,Emory University
2916,John F. Duffy,University of Virginia
2917,Anthony Fauci,National Institute of Allergy and Infectious Diseases
2918,Donald Trump,Trump University
2919,Christina Paxson,Brown University
2920,Nir Barzilai,Institute for Aging Research
2921,Eric Verdin,Buck Institute
2922,Francis Collins,National Institutes of Health
2923,Jerry Falwell Jr.,Liberty University
2924,Ernest Moniz,Massachusetts Institute of Technology
2925,John Pitney,Claremont McKenna College
2926,Larry Arnn,Hillsdale College
2927,Tim Woodward,State Police College Park
2928,Kevin Hall,Freedhoff and National Institutes of Health
2929,Keith Still,Manchester Metropolitan University
2930,Brian Miller,Wheaton College
2931,Eswar Prasad,Cornell University
2932,Richard Painter,University of Minnesota
2933,Erwin Chemerinsky,University of California at Irvine School of Law
2934,Arthur Brooks,American Enterprise Institute
2935,Arthur Brooks,American Enterprise Institute
2936,Robert Thompson,Syracuse University
2937,Jun Wu,Salk Institute
2938,Hiroko Akiyama,Institute of Gerontology
2939,Luke Zhu,University of Manitoba
2940,Dan Byman,Georgetown University
2941,Aida Mohammadi,University of Maryland
2942,Robert H. McKinney School,Indiana University
2943,Lockheed Martin,Lexington Institute
2944,Myra Gutin,Rider University
2945,William Baude,University of Chicago
2946,Lawrence B. Solum,Georgetown University
2947,Jamal Greene,Columbia University
2948,John McLaren,University of Virginia
2949,Shushanik Hakobyan,Fordham University
2950,Jack Gerard,American Petroleum Institute
2951,Michael Barr,University of Michigan Law School
2952,Timothy Naftali,New York University
2953,U. C. Berkeley,University
2954,Meena Bose,Hofstra University
2955,Gary Jacobson,University of California at San Diego
2956,Caroline Freund,Peterson Institute for International Economics
2957,Stephen K. Bannon,Harvard University
2958,David Titley,Pennsylvania State University
2959,Paul G. Cassell,University of Utah
2960,Dignitatis Humanae,Institute for Human Dignity
2961,Cathy Liss,Animal Welfare Institute
2962,Absalom Bolling,La Salle University
2963,Grace Murray Hopper,Grace Murray Hopper College
2964,John C. Calhoun,Yale University
2965,Jonathan Holloway,Yale College
2966,Grace Murray Hopper,Grace Murray Hopper College
2967,Michael Marsland,Calhoun College
2968,Michael Marsland,Yale University
2969,Danielle Allen,Harvard University
2970,Brayden King,Northwestern University
2971,Gary Clyde Hufbauer,Peterson Institute for International Economics
2972,Grace Yukich,Quinnipiac University
2973,Kim Jong Nam,Leiden University
2974,Wang Weimin,Fudan University
2975,Kim Jong Nam,Fudan University
2976,Stephan Haggard,Peterson Institute for International Economics
2977,Richard Spencer,National Policy Institute
2978,Richard Spencer,National Policy Institute
2979,Angela Stent,Georgetown University
2980,Joel Goldstein,Saint Louis University School of Law
2981,Douglas Brinkley,Rice University
2982,David Pozen,Columbia University
2983,Henrik Selin,Swedish Institute
2984,Daniel Swain,University of California at Los Angeles
2985,Thomas Donnelly,American Enterprise Institute
2986,Jerzy Sarnecki,Stockholm University
2987,Milo Yiannopoulos,University of California at Berkeley
2988,Dan Balz,Harvard University
2989,Michaël Gillon,University of Liege
2990,N. J.,Raritan Valley Community College
2991,Mark Lilla,Columbia University
2992,Kellyanne Conway,George Washington University Law School
2993,Charles Lister,Middle East Institute
2994,Robert Thompson,Syracuse University
2995,Michael Heaney,University of Michigan
2996,Gabrielle Hosein,Institute for Gender and Development Studies
2997,Donald Trump,Orange Coast College
2998,Jay Rosen,New York University
2999,David Pozen,Columbia University
3000,Walter Kimbrough,Dillard University
3001,Daniel Blumenthal,American Enterprise Institute
3002,U. S.,U. S. Naval Institute
3003,Vadim Kondratyuk,Stanford University
3004,Matthew Dodd,University College London
3005,Matthew Dodd,University College London
3006,Bob Sutton,Stanford University
3007,Andrew Selee,Mexico Institute
3008,Walter Kimbrough,Dillard University
3009,Scott Halpern,University of Pennsylvania
3010,Ahmed Mohammed,Syrian Institute for Justice
3011,Charles Murray,Middlebury College
3012,Richard J. Herrnstein,Harvard University
3013,Thomas C. Leonard,Princeton University
3014,Woodrow Wilson,Johns Hopkins University
3015,Charles Van Hise,University of Wisconsin
3016,Laura Weyrich,University of Adelaide
3017,Anthony Fauci,National Institute of Allergy and Infectious Diseases
3018,Manfred Steger,University of Hawaii
3019,Ralph Nader,George Washington University
3020,Paul F. Rothstein,Georgetown University Law School
3021,Steven L. Schooner,George Washington University
3022,Sherry Glied,New York University
3023,Richard C. Boothman,University of Michigan
3024,Thomas H. Gallagher,University of Washington
3025,Thomas Lundberg,University of Glasgow
3026,Thomas Kidd,Baylor University
3027,Neal Lane,Rice University
3028,Matthijs Rooduijn,Utrecht University
3029,Ronald Reagan,Institute of Peace
3030,George Borjas,Harvard University
3031,Jason Richwine,Harvard University
3032,Samuel Huntington,Harvard University
3033,Kevin Fu,University of Michigan
3034,Andrea Matwyshyn,Northeastern University
3035,Danielle Citron,University of Maryland
3036,Joni Ernst,Coe College
3037,Allen C. Guelzo,Gettysburg College
3038,Brian Leiter,University of Chicago Law School
3039,Donald Trump,Electoral College &
3040,Ronald Reagan,Rockefeller University
3041,Richard Sylla,New York University
3042,Michael Cannon,Cato Institute
3043,Bert Vogelstein,Johns Hopkins University
3044,Yusuf Hannun,Stony Brook University Cancer Center
3045,Lena Mucha,Yerevan Military University
3046,Lena Mucha,Military University
3047,Lena Mucha,Military University
3048,Lena Mucha,Military University
3049,Lena Mucha,Military University
3050,Lena Mucha,Military University
3051,Lena Mucha,Military University
3052,David Cutler,Harvard University
3053,Graham Spanier,Pennsylvania State University
3054,Angus Deaton,Princeton University
3055,Robert Watson,Lynn University
3056,Katherine Jellison,Ohio University
3057,Michael Mann,Pennsylvania State University
3058,Stephen Vavrus,University of Wisconsin
3059,Patricia King,Georgetown University
3060,Herman Kraft,University of Philippines
3061,MedStar Georgetown,Howard University
3062,MedStar Georgetown,Howard University
3063,MedStar Georgetown,George Washington University
3064,Wayne A. I. Frederick,Howard University
3065,Wayne A. I. Frederick,Howard University
3066,H. Patrick Swygert,Howard University
3067,MedStar Georgetown,Howard University
3068,MedStar Georgetown,George Washington University
3069,p. m.,Howard University Hospital
3070,John Cornyn,National Institutes of Health
3071,Darpana Sheth,Institute for Justice
3072,Paul Ohm,Georgetown University Law Center
3073,Bruce Jakosky,University of Colorado
3074,Russell Kashian,University of Wisconsin
3075,Gary Hufbauer,Peterson Institute for International Economics
3076,Hugh Lee Pattinson,Newcastle University
3077,Libba Patterson,University of South Carolina School of Law
3078,Lucas Chapman,American University
3079,Lucas Chapman,American University
3080,Sacred Heart,Sacred Heart University
3081,Sacred Heart,Sacred Heart University
3082,Sacred Heart,Sacred Heart University
3083,Sacred Heart,Sacred Heart University
3084,Caitlin Nelson,Sacred Heart University
3085,K. T. McFarland,University of Texas System
3086,Kori Schake,Stanford University
3087,Peter Feaver,Duke University
3088,Robert Everett Johnson,Institute for Justice
3089,Dean Hamer,National Institutes of Health
3090,Roger Blandford,Stanford University
3091,Hilal Khashan,American University of Beirut
3092,George W. Bush,George W. Bush Institute
3093,John Southworth,Keele University
3094,U. S.,U. S. Army War College
3095,Diana Farrell,JPMorgan Chase Institute
3096,Kohlberg Kravis Roberts,KKR Global Institute
3097,Mark Windham,University of Tennesse
3098,Dori Steinberg,Duke University
3099,Claremont McKenna,Claremont McKenna College
3100,Hiram E. Chodosh,Claremont McKenna College
3101,Milo Yiannopoulos,University of California at Berkeley
3102,Kathleen Weathers,Cary Institute of Ecosystem Studies
3103,Sujay Kaushal,University of Maryland
3104,Daniel Hemel,University of Chicago Law School
3105,Chad Bown,Peterson Institute for International Economics
3106,Nicole Eramo,University of Virginia
3107,Joshua D. Rothman,University of Alabama
3108,Molly Mitchell,University of New Orleans
3109,Heather Mac Donald,Manhattan Institute
3110,Steven Pinker,Harvard University
3111,Greg Walden,Lee University
3112,Allan J. Lichtman,American University
3113,Allan J. Lichtman,American University
3114,John Granger Cook,LaGrange College
3115,Tax Returns,Electoral College
3116,Tax Returns,Electoral College
3117,Kelly McBride,Poynter Institute
3118,Dan Kennedy,Northeastern University
3119,Richard Lazarus,Harvard University
3120,Nicole Dubilier,Max Planck Institute for Marine Microbiology
3121,U. S.,U. S. Naval Institute News
3122,Sherry Spencer,National Policy Institute
3123,Danielle Citron,University of Maryland
3124,Allan J. Lichtman,American University
3125,Allan J. Lichtman,American University
3126,Richard Sylla,New York University
3127,Richard Spencer,University
3128,Jeffrey McCall,DePauw University
3129,Dan Cassino,Fairleigh Dickinson University
3130,Historians H. W. Brands,University of Texas
3131,David M. Kennedy,Stanford University
3132,George Mason,George Mason University
3133,Dan Mogulof,University
3134,Richard Spencer,University
3135,Roger Cavazos,Nautilus Institute
3136,De Gaulle,Oxford University
3137,Mark Feldstein,University of Maryland
3138,Claudine Ferrell,University of Mary Washington
3139,Donald Trump,Rice University
3140,Max M. Freedman,University of Chicago
3141,Dorian Meighen,Roosevelt University
3142,Federica Bertocchini,Institute of Biomedicine and Biotechnology of Cantabria
3143,Paolo Bombelli,University of Cambridge
3144,Ramani Narayan,Michigan State Universitychemical
3145,Emily Sneff,Harvard University
3146,Charles Geyh,Indiana University
3147,Stacy Cordery,Iowa State University
3148,Erica Frankenberg,Pennsylvania State University
3149,Robert Painter,University of Minnesota
3150,Julian Zelizer,Princeton University
3151,David Smith,Milken Institute
3152,Rick Su,University at Buffalo School of Law
3153,Theda Skocpol,Harvard University
3154,Brett Danaher,Chapman University
3155,Janet Bednarek,University of Dayton
3156,Joshua D. Rothman,University of Alabama
3157,Molly Mitchell,University of New Orleans
3158,Charles Murray,Middlebury College
3159,Ann Coulter,University of California at Berkeley
3160,David Carter,University of Texas
3161,Anton Shekhovtsov,Institute for Human Sciences
3162,Kathleen Clark,Washington University
3163,Cécile Alduy,Stanford University
3164,Martin Feldstein,Harvard University
3165,Trevor Packer,College Board
3166,Marybeth Gasman,University of Pennsylvania
3167,Otto Warmbier,University of Virginia
3168,Stephen I. Vladeck,University of Texas
